"","Row.names","Genus","name","value","LibraryName","Group"
"35","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660220",2595,"HC5_bacterial","HC"
"36","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660221",160,"HC4_bacterial","HC"
"37","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660222",177,"HC3_bacterial","HC"
"38","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660223",0,"HC2_bacterial","HC"
"39","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660224",1113,"HC1_bacterial","HC"
"40","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660226",0,"MS21_bacterial","MS"
"41","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660227",0,"MS3_bacterial","MS"
"42","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660228",0,"MS20_bacterial","MS"
"43","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660229",0,"MS19_bacterial","MS"
"44","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660230",0,"MS18_bacterial","MS"
"45","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660231",0,"MS17_bacterial","MS"
"46","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660232",15,"MS16_bacterial","MS"
"47","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660233",5,"MS15_bacterial","MS"
"48","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660234",0,"MS14_bacterial","MS"
"49","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660235",0,"MS13_bacterial","MS"
"50","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660238",0,"MS12_bacterial","MS"
"51","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660249",0,"MS11_bacterial","MS"
"52","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660250",0,"MS2_bacterial","MS"
"53","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter.NA","Methanobrevibacter","SRR14660251",32,"MS1_bacterial","MS"
"54","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660150",0,"MS10_bacterial","MS"
"55","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660161",0,"MS9_bacterial","MS"
"56","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660172",0,"MS8_bacterial","MS"
"57","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660183",0,"MS7_bacterial","MS"
"58","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660188",0,"HC34_bacterial","HC"
"59","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660189",0,"HC33_bacterial","HC"
"60","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660190",0,"HC32_bacterial","HC"
"61","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660191",0,"HC31_bacterial","HC"
"62","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660192",0,"HC30_bacterial","HC"
"63","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660193",0,"HC29_bacterial","HC"
"64","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660194",0,"MS6_bacterial","MS"
"65","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660195",0,"HC28_bacterial","HC"
"66","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660197",0,"HC26_bacterial","HC"
"67","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660198",0,"HC25_bacterial","HC"
"68","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660199",0,"HC24_bacterial","HC"
"69","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660200",0,"HC23_bacterial","HC"
"70","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660201",0,"HC22_bacterial","HC"
"71","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660202",0,"HC21_bacterial","HC"
"72","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660203",0,"HC20_bacterial","HC"
"73","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660204",0,"HC19_bacterial","HC"
"74","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660205",0,"MS5_bacterial","MS"
"75","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660206",0,"HC18_bacterial","HC"
"76","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660207",0,"HC17_bacterial","HC"
"77","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660208",0,"HC16_bacterial","HC"
"78","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660209",0,"HC15_bacterial","HC"
"79","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660210",0,"HC14_bacterial","HC"
"80","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660211",35,"HC13_bacterial","HC"
"81","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660212",0,"HC12_bacterial","HC"
"82","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660213",0,"HC11_bacterial","HC"
"83","Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera.NA","Methanosphaera","SRR14660214",0,"HC10_bacterial","HC"
